epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,152.329,0.60129,0.52681,0.93932,0.80262,0.8088,0.89122,0.73964,0.66649,1.52329,1.14947,0.00078616,0.00078616,0.00078616
110,153.695,0.64856,0.56014,0.98641,0.80635,0.80234,0.88679,0.75641,0.66578,1.56391,1.16135,0.00078418,0.00078418,0.00078418
111,155.066,0.65682,0.53664,0.98726,0.85033,0.8219,0.89317,0.75812,0.63891,1.45069,1.13776,0.0007822,0.0007822,0.0007822
112,156.496,0.67399,0.54824,1.01103,0.94917,0.83393,0.92993,0.74079,0.61551,1.12759,1.10823,0.00078022,0.00078022,0.00078022
113,157.866,0.62443,0.54172,0.96978,0.94992,0.85467,0.94708,0.77836,0.58948,1.08982,1.09149,0.00077824,0.00077824,0.00077824
114,159.25,0.59975,0.53799,1.00257,0.9468,0.84412,0.95003,0.77516,0.58388,1.10198,1.09466,0.00077626,0.00077626,0.00077626
115,160.65,0.58758,0.51237,0.94671,0.82532,0.83324,0.94471,0.76397,0.59587,1.18685,1.10821,0.00077428,0.00077428,0.00077428
116,162.046,0.60625,0.49989,0.94605,0.48369,0.73333,0.7883,0.63721,0.59051,1.45757,1.11117,0.0007723,0.0007723,0.0007723
117,163.397,0.59454,0.47811,0.9592,0.72209,0.69643,0.89877,0.73296,0.60825,1.40605,1.12364,0.00077032,0.00077032,0.00077032
118,164.781,0.61435,0.50213,0.96641,0.80033,0.78768,0.94823,0.78375,0.63471,1.30916,1.12279,0.00076834,0.00076834,0.00076834
119,166.12,0.62793,0.4934,0.97523,0.93415,0.76266,0.95319,0.79053,0.67556,1.18886,1.14169,0.00076636,0.00076636,0.00076636
120,167.524,0.62244,0.51117,0.98695,0.94304,0.76055,0.95026,0.78803,0.7101,1.22484,1.18181,0.00076438,0.00076438,0.00076438
121,168.906,0.58116,0.50397,0.95688,0.96829,0.75721,0.94937,0.78719,0.7144,1.2417,1.19495,0.0007624,0.0007624,0.0007624
122,170.283,0.58296,0.50727,0.94287,0.83628,0.8486,0.94402,0.79306,0.72798,1.18172,1.20658,0.00076042,0.00076042,0.00076042
123,171.639,0.61163,0.48262,0.95208,0.84254,0.84384,0.94536,0.79703,0.69869,1.07756,1.19045,0.00075844,0.00075844,0.00075844
124,173.04,0.57118,0.51691,0.96996,0.92733,0.82083,0.95224,0.82102,0.65796,0.96984,1.17048,0.00075646,0.00075646,0.00075646
125,174.399,0.60441,0.51368,0.94815,0.91871,0.82366,0.95443,0.81189,0.64418,0.94445,1.1566,0.00075448,0.00075448,0.00075448
126,175.751,0.55943,0.49585,0.95944,0.92005,0.81252,0.9544,0.81105,0.64329,1.012,1.141,0.0007525,0.0007525,0.0007525
127,177.097,0.56564,0.47882,0.94285,0.9309,0.80027,0.94519,0.80519,0.65814,1.13556,1.14189,0.00075052,0.00075052,0.00075052
128,178.478,0.56749,0.47832,0.96231,0.94807,0.76848,0.93928,0.80076,0.70512,1.26698,1.16704,0.00074854,0.00074854,0.00074854
129,179.813,0.60997,0.50032,0.99586,0.95327,0.78176,0.94622,0.76951,0.74432,1.25391,1.20298,0.00074656,0.00074656,0.00074656
130,181.205,0.57116,0.48387,0.93621,0.94619,0.79839,0.94882,0.77726,0.74443,1.17133,1.22818,0.00074458,0.00074458,0.00074458
131,182.599,0.57356,0.48847,0.9453,0.95506,0.80898,0.94756,0.77285,0.73856,1.13929,1.23914,0.0007426,0.0007426,0.0007426
132,183.971,0.5812,0.50845,0.97242,0.95997,0.8054,0.93905,0.77075,0.6885,1.10271,1.17853,0.00074062,0.00074062,0.00074062
133,185.348,0.54936,0.46802,0.93633,0.94979,0.81571,0.94364,0.82102,0.63956,1.05267,1.13828,0.00073864,0.00073864,0.00073864
134,186.712,0.57475,0.46795,0.96798,0.91225,0.81884,0.949,0.84899,0.58113,0.96498,1.09356,0.00073666,0.00073666,0.00073666
135,188.086,0.53454,0.46749,0.91987,0.85365,0.89286,0.96061,0.88995,0.54807,0.91932,1.06631,0.00073468,0.00073468,0.00073468
136,189.464,0.57719,0.4637,0.98491,0.90067,0.90256,0.96149,0.87105,0.58766,0.90606,1.0997,0.0007327,0.0007327,0.0007327
137,190.811,0.54717,0.44354,0.91212,0.94954,0.83498,0.95412,0.8662,0.59882,0.91864,1.11258,0.00073072,0.00073072,0.00073072
138,192.17,0.55337,0.45206,0.9298,0.93693,0.78561,0.9236,0.85038,0.63374,0.94284,1.138,0.00072874,0.00072874,0.00072874
139,193.527,0.56737,0.47108,0.95633,0.84045,0.80179,0.90588,0.79197,0.67317,0.95827,1.1594,0.00072676,0.00072676,0.00072676
140,194.928,0.57001,0.45716,0.93324,0.84807,0.81647,0.9199,0.77328,0.62365,0.89798,1.10543,0.00072478,0.00072478,0.00072478
141,196.287,0.57761,0.4735,0.95191,0.92595,0.79004,0.93572,0.79133,0.60462,0.92685,1.08097,0.0007228,0.0007228,0.0007228
142,197.663,0.58733,0.46649,0.97054,0.88746,0.76308,0.93425,0.81297,0.6017,0.98157,1.07561,0.00072082,0.00072082,0.00072082
143,199.026,0.57627,0.48173,0.96252,0.79694,0.83325,0.93287,0.78282,0.59819,1.01105,1.07519,0.00071884,0.00071884,0.00071884
144,200.418,0.5809,0.4599,0.95636,0.87705,0.87965,0.9617,0.79859,0.66784,1.04714,1.15091,0.00071686,0.00071686,0.00071686
145,201.811,0.53269,0.4389,0.93078,0.85035,0.88844,0.96141,0.78931,0.70846,1.03115,1.19481,0.00071488,0.00071488,0.00071488
146,203.149,0.52806,0.43671,0.91726,0.83276,0.86179,0.95914,0.76894,0.77184,1.02858,1.23158,0.0007129,0.0007129,0.0007129
147,204.515,0.59444,0.47929,0.96927,0.85454,0.88116,0.96486,0.78052,0.76457,0.99805,1.22642,0.00071092,0.00071092,0.00071092
148,205.922,0.57716,0.45676,0.97614,0.92264,0.89441,0.95112,0.75281,0.72547,0.93389,1.19392,0.00070894,0.00070894,0.00070894
149,207.278,0.538,0.50329,0.9404,0.9275,0.90868,0.95355,0.74955,0.71759,0.88637,1.16747,0.00070696,0.00070696,0.00070696
150,208.643,0.58046,0.46525,0.93439,0.91051,0.90369,0.9542,0.75426,0.67453,0.86991,1.13552,0.00070498,0.00070498,0.00070498
151,209.987,0.58546,0.46255,0.97818,0.96432,0.83883,0.93419,0.76318,0.66008,0.83398,1.12962,0.000703,0.000703,0.000703
152,211.407,0.52464,0.44221,0.93403,0.93801,0.76958,0.93561,0.7692,0.6494,0.94007,1.14322,0.00070102,0.00070102,0.00070102
153,212.785,0.5451,0.45495,0.92112,0.90855,0.75406,0.93418,0.78985,0.64732,1.16659,1.15143,0.00069904,0.00069904,0.00069904
154,214.147,0.52467,0.44708,0.93727,0.92477,0.66847,0.90389,0.75613,0.6749,1.39619,1.18644,0.00069706,0.00069706,0.00069706
155,215.521,0.53436,0.43746,0.93165,0.90068,0.65676,0.87769,0.73504,0.6998,1.47112,1.22225,0.00069508,0.00069508,0.00069508
156,216.882,0.56975,0.45704,0.96036,0.87765,0.67542,0.89552,0.71372,0.71153,1.51649,1.25497,0.0006931,0.0006931,0.0006931
157,218.253,0.54444,0.46857,0.96022,0.82969,0.78103,0.91333,0.71184,0.71155,1.37108,1.25799,0.00069112,0.00069112,0.00069112
158,219.593,0.53319,0.44135,0.93294,0.87829,0.83199,0.93432,0.72857,0.6981,1.26021,1.23709,0.00068914,0.00068914,0.00068914
159,220.947,0.55924,0.46209,0.91983,0.87671,0.83393,0.9336,0.75175,0.68652,1.29897,1.21704,0.00068716,0.00068716,0.00068716
160,222.314,0.52073,0.44411,0.94363,0.88823,0.77584,0.926,0.72072,0.71755,1.49217,1.23936,0.00068518,0.00068518,0.00068518
161,223.655,0.54278,0.4293,0.91993,0.89334,0.74344,0.94216,0.76415,0.75569,1.47753,1.27817,0.0006832,0.0006832,0.0006832
